tnew ca_PZAP ca_PSYK
28.08283 0.14800 0.13346
28.17887 0.14822 0.13347
28.27491 0.14844 0.13349
28.37095 0.14866 0.13350
28.46699 0.14888 0.13352
28.56303 0.14910 0.13354
28.65906 0.14932 0.13355
28.75510 0.14954 0.13357
28.85114 0.14977 0.13358
28.94718 0.14999 0.13360
29.04322 0.15022 0.13361
29.13926 0.15044 0.13363
29.23529 0.15067 0.13365
29.33133 0.15090 0.13366
29.42737 0.15112 0.13368
29.52341 0.15135 0.13370
29.61945 0.15158 0.13371
29.71549 0.15181 0.13373
29.81152 0.15204 0.13374
29.90756 0.15226 0.13376
30.00360 0.15249 0.13378
30.09964 0.15272 0.13379
30.19568 0.15295 0.13381
30.29172 0.15318 0.13382
30.38776 0.15342 0.13384
30.48379 0.15365 0.13385
30.57983 0.15389 0.13387
30.67587 0.15413 0.13389
30.77191 0.15437 0.13390
30.86795 0.15460 0.13392
30.96399 0.15484 0.13393
31.06002 0.15508 0.13395
31.15606 0.15532 0.13397
31.25210 0.15556 0.13398
31.34814 0.15580 0.13400
31.44418 0.15605 0.13401
31.54022 0.15629 0.13403
31.63625 0.15654 0.13405
31.73229 0.15678 0.13406
31.82833 0.15703 0.13408
31.92437 0.15727 0.13410
32.02041 0.15751 0.13411
32.11645 0.15775 0.13413
32.21248 0.15800 0.13415
32.30852 0.15824 0.13416
32.40456 0.15848 0.13418
32.50060 0.15871 0.13420
32.59664 0.15895 0.13421
32.69268 0.15918 0.13423
32.78872 0.15942 0.13425
32.88475 0.15965 0.13426
32.98079 0.15988 0.13428
33.07683 0.16012 0.13430
33.17287 0.16035 0.13431
33.26891 0.16058 0.13433
33.36495 0.16081 0.13435
33.46098 0.16105 0.13436
33.55702 0.16129 0.13438
33.65306 0.16152 0.13440
33.74910 0.16176 0.13441
33.84514 0.16200 0.13443
33.94118 0.16224 0.13445
34.03721 0.16247 0.13446
34.13325 0.16271 0.13448
34.22929 0.16294 0.13449
34.32533 0.16318 0.13451
34.42137 0.16342 0.13453
34.51741 0.16367 0.13454
34.61345 0.16391 0.13456
34.70948 0.16416 0.13458
34.80552 0.16441 0.13460
34.90156 0.16465 0.13461
34.99760 0.16489 0.13463
35.09364 0.16513 0.13465
35.18968 0.16537 0.13466
35.28571 0.16561 0.13468
35.38175 0.16585 0.13470
35.47779 0.16609 0.13472
35.57383 0.16632 0.13473
35.66987 0.16656 0.13475
35.76591 0.16680 0.13477
35.86194 0.16704 0.13478
35.95798 0.16729 0.13480
36.05402 0.16754 0.13482
36.15006 0.16779 0.13484
36.24610 0.16805 0.13486
36.34214 0.16831 0.13487
36.43818 0.16857 0.13489
36.53421 0.16882 0.13491
36.63025 0.16908 0.13493
36.72629 0.16934 0.13494
36.82233 0.16961 0.13496
36.91837 0.16987 0.13498
37.01441 0.17014 0.13500
37.11044 0.17041 0.13501
37.20648 0.17067 0.13503
37.30252 0.17094 0.13505
37.39856 0.17121 0.13507
37.49460 0.17148 0.13509
37.59064 0.17175 0.13511
37.68667 0.17202 0.13512
37.78271 0.17229 0.13514
37.87875 0.17256 0.13516
37.97479 0.17283 0.13518
38.07083 0.17310 0.13519
38.16687 0.17337 0.13521
38.26291 0.17364 0.13523
38.35894 0.17391 0.13525
38.45498 0.17418 0.13527
38.55102 0.17446 0.13528
38.64706 0.17474 0.13530
38.74310 0.17502 0.13532
38.83914 0.17530 0.13534
38.93517 0.17559 0.13535
39.03121 0.17587 0.13537
39.12725 0.17615 0.13539
39.22329 0.17643 0.13541
39.31933 0.17671 0.13542
39.41537 0.17699 0.13544
